priority,segment,company,base,why_now,role_to_contact,channel,offer_fit,notes
2,Drilling contractor,Shelf Drilling,Dubai / SEA,Jack-ups India and SEA,Operations,Direct,"2",
2,Drilling contractor,Japan Drilling Co,Tokyo,Jack-ups SEA,Operations,Direct,"2",
2,Drilling contractor,ADES,Saudi Arabia,Aramco restarts 8 jack-ups 2026,Rig-move engineering,Agency,"2",Middle East via agency
2,Drilling contractor,Sapura Energy,Kuala Lumpur,Jack-ups and installation,Operations,Direct,"2,3",
1,Operator / decommissioning,PETRONAS Carigali decommissioning,Kuala Lumpur,Removal of up to 31 platforms tendering,Decom project engineers,Via EPRD contractors,"2,3",Local content: pitch remote SSA and third-party review
1,Operator / decommissioning,Chevron Malaysia,Kuala Lumpur,North Malay FFD campaign on NAGA 8 from Aug 2026,Drilling geotech,Direct,"2",
2,Operator / decommissioning,Allseas,Australia (Bass Strait),Lifts from 2027; prep 2026,Marine ops geotechnical,Direct,"2,3",Vessel positioning next to old jackets
2,Operator / decommissioning,Esso Australia (ExxonMobil),Melbourne,Bass Strait decom,Decom geotechnical lead,Direct,"3,6",
2,Operator / decommissioning,DeepOcean,Perth,Decom duty offshore Australia 2026,Project manager,Direct,"1",
2,Operator / decommissioning,Northern Endeavour Phase 3a bidders,Australia,RFT 14 Aug 2026,Bid managers,Track award,"1,2,3",Identify winner after award
1,CCS,PETRONAS CCS Solutions,Kuala Lumpur,Kasawari and future CCS hubs,SI package engineers,Via HELMS,"2,3,6",
2,CCS,ExxonMobil CCS Indonesia / Malaysia,Jakarta / KL,Offshore CO2 storage projects,SI/geotech lead,Direct,"1,6",
2,CCS,Pertamina,Jakarta,ExxonMobil HoA offshore Sumatra/Java,Geotechnical,Direct,"1",
2,CCS,JGC / Chiyoda,Tokyo / SEA,Japan-Malaysia cross-border CCS engineering,Geotechnical lead,Direct,"3,6",
1,Wind developer,Copenhagen Infrastructure Partners (CIP) Taiwan,Taipei,FengMiao II SI Q3 2026,Package manager geotechnical,Direct,"1,6",
1,Wind developer,Ørsted Korea,Seoul,Incheon 1.4 GW surveys done; design phase,Geotechnical package manager,Direct,"6,3",
2,Wind developer,Corio Generation,Singapore/Taipei/Seoul,APAC portfolio,Geotechnical lead,Direct,"1,6",
2,Wind developer,JERA / Green Power Investment / Tohoku Electric,Tokyo,Aomori South 615 MW (Round 3),Owner's engineer,Via owner's engineer,"1",
2,Wind developer,Marubeni / bp / Kansai / Tokyo Gas,Tokyo,Yuza 450 MW (Round 3),Owner's engineer,Via owner's engineer,"1",
2,Wind developer,Equis / Vena Energy,Singapore,APAC wind and solar,Geotechnical,Direct,"1,6",
2,Wind developer,wpd Taiwan,Taipei,Round 3 projects,Geotechnical,Direct,"1",
1,Singapore SI contractor,FOSTA Pte Ltd,Singapore,Former employer; T5/CRL/Long Island SI demand,Director,Warm,"1,4,6,7",
1,Singapore SI contractor,Geospecs,Singapore,Public SI term contracts,Director,Direct,"1,4,6,7",
1,Singapore SI contractor,Soil & Foundation (S&F),Singapore,SI and instrumentation,Director,Direct,"1,4,5,7",
1,Singapore SI contractor,GIE / GIEF,Singapore,SI and micro-piling,Director,Direct,"1,4,7",
2,Singapore SI contractor,Geotechnical Instrumentation contractors (e.g. Geotechnical Instruments Asia; Encardio-rite SG),Singapore,Tuas and Long Island instrumentation,Director,Direct,"5",Verify names
2,Singapore SI contractor,Kiso-Jiban Singapore,Singapore,Japanese-linked SI and lab,Manager,Direct,"4,6",
2,Singapore SI contractor,Setsco Services,Singapore,Accredited materials and soil lab,Lab manager,Direct,"4",
2,Singapore SI contractor,Kimly Construction (SI arm),Singapore,SI for HDB/LTA,Director,Direct,"1,7",Verify SI scope
1,Reclamation / ground improvement,Penta-Ocean Construction Singapore,Singapore,T5 tunnels (with Koh Brothers); reclamation history,Geotechnical / QC manager,Direct,"5,1,6",
1,Reclamation / ground improvement,Koh Brothers Building & Civil,Singapore,T5 JV,Project geotechnical engineer,Direct,"5,1",
1,Reclamation / ground improvement,Boskalis Asia,Singapore,Tuas and reclamation,Project manager,Direct,"5,1",
1,Reclamation / ground improvement,Van Oord Asia,Singapore,Reclamation and cable,Project manager,Direct,"5,1",
1,Reclamation / ground improvement,Jan De Nul Singapore,Singapore,Reclamation,Project manager,Direct,"5,1",
1,Reclamation / ground improvement,DEME Asia,Singapore,Reclamation and offshore wind,Project manager,Direct,"5,1",
2,Reclamation / ground improvement,China Communications Construction (CCCC) Singapore,Singapore,Tuas phases,QC manager,Direct,"5",
2,Reclamation / ground improvement,Hyundai E&C Singapore,Singapore,Tuas / reclamation,QC manager,Direct,"5",
2,Reclamation / ground improvement,Samsung C&T Singapore,Singapore,CRL / T5 packages,Geotechnical engineer,Direct,"5,6",
2,Reclamation / ground improvement,Menard Asia / Keller Asia,Singapore,Ground improvement specialists,Project manager,Direct,"5,4",
1,Owner and consultant (SG),Surbana Jurong,Singapore,Long Island and HDB consultancies,Geotechnical section head,Direct,"6,5",
1,Owner and consultant (SG),Arup Singapore,Singapore,CRL / T5 geotechnical,Geotechnical lead,Direct,"6",
1,Owner and consultant (SG),AECOM Singapore,Singapore,LTA and PUB consultancies,Geotechnical lead,Direct,"6,5",
1,Owner and consultant (SG),Mott MacDonald Singapore,Singapore,Rail and coastal,Geotechnical lead,Direct,"6",
2,Owner and consultant (SG),Meinhardt,Singapore,Buildings and infra,Geotechnical,Direct,"6",
2,Owner and consultant (SG),CPG Consultants,Singapore,Public projects,Geotechnical,Direct,"6",
2,Owner and consultant (SG),WSP Singapore,Singapore,Infra,Geotechnical,Direct,"6",
2,Owner and consultant (SG),Jacobs / Tritech / T.Y. Lin,Singapore,Coastal protection studies,Geotechnical,Direct,"6",
2,Owner and consultant (SG),PUB Coastal Protection Dept consultants,Singapore,Long Island and East Coast,Via consultants,Track appointments,"5,6",
2,Owner and consultant (SG),MPA / Tuas port consultants,Singapore,Tuas later phases,Via consultants,Track,"5",
1,Johor / Malaysia onshore,Data-centre developers in Johor (Equinix; AirTrunk; Princeton Digital; YTL; Bridge; NTT; GDS),Johor,5 GW+ pipeline; campus SI and piling,Development / construction managers,Direct via owner's engineers,"1,4,5,6",Verify active campuses; RTS Link Dec 2026
1,Johor / Malaysia onshore,Piling contractors Johor/KL (e.g. Pintaras; Econpile; Ikhmas; Sunway Geotechnics),Johor / KL,Data-centre foundations,Project manager,Direct,"5,3,6",
2,Johor / Malaysia onshore,Malaysian SI contractors (e.g. Soil Centralab; Geo-Eng; Geolab; Geonamics),Malaysia,Onshore SI volume,Director,Direct,"4,6,7",Verify names
2,Johor / Malaysia onshore,Geotechnica (slope hazard/geoforensics),Malaysia,Landslide and slope assessments,Director,Direct,"6",Expert-witness adjacent
2,Johor / Malaysia onshore,JKR slope engineering branch,Malaysia,Slope programme,Via consultants,Track,"6",
1,Floating solar,Cypark Renewable Energy / Sunview Group,Malaysia,Kenyir 595 MW FPV construction from Jun 2026,EPC geotechnical / anchoring lead,Direct,"3,1,6",Lakebed SI and anchor design
1,Floating solar,Masdar (Chereh Dam 200 MW),Abu Dhabi / KL,PPA signed; Cirata precedent,Project development,Direct,"3,6",
2,Floating solar,TNB Genco / TNB Renewables,Malaysia,FPV programme; LSS6,Project engineering,Direct,"3,6",
2,Floating solar,Gentari,Malaysia,Renewables developer,Geotechnical,Direct,"6",
2,Floating solar,Sembcorp (Tengeh and regional FPV),Singapore,FPV developer,Engineering,Direct,"3,6",
2,Floating solar,PLN Nusantara Power / Indonesian FPV EPCs,Indonesia,Reservoir FPV pipeline,Engineering,Direct,"3",
1,Agency (offshore),Atlas Professionals / Atlas NextWave,Singapore / global,Client rep placements,Recruiter,Register,"1",
1,Agency (offshore),NES Fircroft,Singapore / KL / Tokyo,Contract staff,Recruiter,Register,"1,9",
1,Agency (offshore),Airswift,Singapore / KL,Contract staff,Recruiter,Register,"1,9",
1,Agency (offshore),Brunel,Singapore / KL,Contract staff,Recruiter,Register,"1",
1,Agency (offshore),SA World,UK / global,Client rep geophys/geotech,Recruiter,Register,"1",
2,Agency (offshore),Spencer Ogden,Singapore,Energy contract staff,Recruiter,Register,"1",
2,Agency (offshore),EPI Group,UK / global,Client reps for SI projects,Recruiter,Register,"1",
2,Agency (offshore),Precise Consultants,UK,Offshore survey freelancers,Recruiter,Register,"1",
1,Agency (onshore SG),Corestaff,Singapore,Construction engineers,Recruiter,Register,"5,9",
1,Agency (onshore SG),PERSOLKELLY,Singapore,Engineering contract,Recruiter,Register,"5,9",
2,Agency (onshore SG),Randstad / Hays / Michael Page,Singapore,Engineering,Recruiter,Register,"9",
1,Expert network,GLG,Global,Investor calls on APAC offshore/SI,Onboarding,Register,"8",
1,Expert network,AlphaSights,Global,Consulting and PE calls,Onboarding,Register,"8",
1,Expert network,Guidepoint,Global,Calls,Onboarding,Register,"8",
2,Expert network,Dialectica / Coleman / Third Bridge,Global,Calls,Onboarding,Register,"8",
2,Dispute / insurance,Loss adjusters (Charles Taylor; Crawford; McLarens; Sedgwick),Singapore / KL,Settlement, slope and foundation claims,Engineering panel manager,Direct,"6",Expert-witness route
2,Dispute / insurance,Expert Services International,Malaysia,Expert witness listings,Register,Register,"6",
2,Dispute / insurance,Dispute consultancies (Masin; HKA; Secretariat; PwC forensics),Singapore,Construction disputes,Geotechnical expert panel,Direct,"6",
2,Cable,Route-survey subcontractors for SubCom / ASN / NEC / HMN Tech landings in Singapore,Singapore,Landings 2026-28,Survey manager,Track awards,"1,6",
2,Cable,Van Oord / Boskalis cable divisions,Singapore,Cable install and burial assessment,Project engineer,Direct,"6",
3,Middle East,AECOM / Bechtel / Parsons giga-project geotechnical teams,Saudi Arabia,Regional geotech market growing despite NEOM cuts,Via agency,Agency,"1,9",
3,Australia,Consultancies hiring remote (e.g. Douglas Partners; Golder/WSP; Tetra Tech Coffey; GHD; SMEC; Cardno-Stantec),Australia,Skills shortage; remote contracts,Geotechnical section leads,Direct,"3,6,9",Engineers Australia registration helps
